freq,animals,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,A2000,THS_HD,CZ06	267.73 	271.32 	271.82 	270.93 	274.73 	272.90 	276.26 	274.45 	275.22 	288.17 	284.62 	290.78 
A,A2000,THS_HD,CZ07	147.81 	151.67 	152.38 	147.32 	150.36 	152.37 	149.67 	146.71 	149.11 	149.29 	148.13 	151.03 
A,A2000,THS_HD,CZ08	76.41 	80.42 	82.07 	79.01 	80.42 	81.84 	86.20 	83.33 	86.57 	86.95 	85.65 	85.96 
A,A2000,THS_HD,DE30	: 	: 	: 	: 	: 	: 	: 	0.85 	0.77 	0.78 	0.73 	0.85 
A,A2000,THS_HD,DE40	: 	: 	: 	: 	: 	: 	: 	477.24 	457.11 	448.31 	436.67 	417.50 
A,A2000,THS_HD,DE50	: 	: 	: 	: 	: 	: 	: 	8.88 	8.52 	8.27 	8.07 	7.72 
A,A2000,THS_HD,DE60	: 	: 	: 	: 	: 	: 	: 	6.02 	5.84 	5.86 	5.62 	5.44 
A,A2000,THS_HD,DE80	: 	: 	: 	: 	: 	: 	: 	469.82 	451.01 	458.84 	456.69 	442.68 
A,A2000,THS_HD,DEC0	: 	: 	: 	: 	: 	: 	: 	41.32 	39.48 	39.58 	38.97 	37.74 
A,A2000,THS_HD,DEE0	347.03 	352.73 	349.29 	340.92 	335.29 	325.06 	313 	298.51 	284.83 	278.09 	271.43 	258.11 
A,A2000,THS_HD,DEF0	: 	: 	: 	: 	: 	: 	: 	985.08 	958.12 	950.53 	934.15 	: 
A,A2000,THS_HD,DEG0	: 	: 	: 	: 	: 	: 	: 	293.86 	282.67 	277.88 	275.18 	265.19 
A,A2000,THS_HD,DK01	30.00 	30.00 	30.00 	30.00 	29.00 	30.00 	28.00 	27.00 	27.00 	26.92 	24.59 	23.77 
A,A2000,THS_HD,DK02	83.00 	81.00 	80.00 	77.00 	76.00 	74.00 	72.00 	71.00 	68.00 	66.18 	64.53 	62.22 
A,A2000,THS_HD,DK03	608.00 	596.00 	606.00 	607.00 	609.00 	602.00 	594.00 	595.00 	589.00 	581.18 	573.17 	563.51 
A,A2000,THS_HD,DK04	490.00 	478.00 	480.00 	477.00 	478.00 	465.00 	453.00 	451.00 	445.00 	444.24 	434.16 	428.14 
A,A2000,THS_HD,DK05	374.00 	368.00 	371.00 	364.00 	365.00 	359.00 	354.00 	355.00 	350.00 	347.89 	338.43 	336.22 
A,A2000,THS_HD,EE00	261.70 p	264.90 p	256.20 p	248.20 	251.30 	255.10 	254.00 	253.30 	250.80 	249.62 	241.36 	232.30 
A,A2000,THS_HD,EL11	105.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL12	181.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL13	40.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL14	113.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL21	63.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL22	6.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL23	63.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL24	30.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL25	16.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL30	3.70 	3.80 	2.50 	2.70 	2.70 p	2.20 p	1.80 	2.90 	3.20 	2.60 	1.76 	1.15 
A,A2000,THS_HD,EL41	9.60 	8.50 	8.50 	8.10 	7.80 	6.90 	6.60 	6.40 	6.20 	4.40 	4.68 	4.16 
A,A2000,THS_HD,EL42	18.60 	19.50 	16.00 	15.70 	16.40 	14.70 	15.40 	14.70 	14.60 	13.10 	12.40 	9.94 
A,A2000,THS_HD,EL43	2.70 	2.50 	1.60 	1.20 	1.30 	1.30 	1.60 	1.20 	1.60 	1.00 	1.62 	1.58 
A,A2000,THS_HD,EL51	102.20 	104.10 	92.80 	89.90 	88.60 	82.90 	80.50 	88.70 	77.40 	74.00 	82.16 	76.25 
A,A2000,THS_HD,EL52	181.50 	185.90 	157.40 	143.10 	143.00 	138.20 	134.50 	160.10 	161.90 	147.70 	147.83 	143.04 
A,A2000,THS_HD,EL53	41.30 	46.00 	36.90 	35.50 	35.70 	34.90 	36.20 	40.30 	35.90 	35.40 	37.03 	34.35 
A,A2000,THS_HD,EL54	60.00 	59.50 	57.50 	55.20 	55.20 	56.60 	53.70 	71.90 	75.50 	74.00 	80.55 	77.48 
A,A2000,THS_HD,EL61	114.70 	115.70 	101.70 	105.50 	106.20 	108.00 	103.70 	120.40 	118.00 	111.30 	133.78 	122.99 
A,A2000,THS_HD,EL62	6.10 	5.60 	4.70 	3.90 	3.80 	3.20 	3.60 	4.10 	3.50 	3.60 	4.03 	3.80 
A,A2000,THS_HD,EL63	58.50 	56.60 	60.40 	54.80 	54.90 	53.60 	52.50 	71.70 	67.80 	68.70 	84.19 	74.83 
A,A2000,THS_HD,EL64	35.50 	34.80 	26.00 	24.10 	25.90 	25.40 	24.90 	32.70 	34.80 	29.40 	35.32 	33.19 
A,A2000,THS_HD,EL65	16.80 	16.40 	16.20 	14.10 	14.70 	14.10 	15.20 	16.40 	13.60 	16.30 	13.47 	12.40 
A,A2000,THS_HD,ES11	936.04 	945.97 	951.87 	953.34 	941.13 	934.80 p	934.03 	939.13 	932.77 	941.89 	940.98 	916.53 
A,A2000,THS_HD,ES12	377.19 	400.61 	398.71 	395.91 	392.79 	391.09 p	396.99 	395.02 	391.50 	375.05 	358.48 	343.92 
A,A2000,THS_HD,ES13	272.81 	285.86 	280.79 	283.55 	282.27 	272.77 p	277.17 	279.32 	272.74 	292.81 	253.29 	245.21 
A,A2000,THS_HD,ES21	138.25 	144.94 	135.57 	136.51 	137.34 	134.61 p	136.13 	136.50 	133.92 	127.74 	123.92 	121.23 
A,A2000,THS_HD,ES22	110.43 	111.73 	116.22 	115.74 	122.29 	122.57 p	120.17 	123.45 	123.38 	120.40 	118.76 	120.11 
A,A2000,THS_HD,ES23	38.26 	39.05 	41.58 	41.29 	45.19 	45.42 p	41.65 	42.32 	41.99 	40.81 	38.58 	37.95 
A,A2000,THS_HD,ES24	301.33 	309.76 	331.76 	345.83 	371.38 	384.31 p	403.82 	397.27 	395.53 	412.26 	406.01 	406.41 
A,A2000,THS_HD,ES30	87.89 	91.02 	91.67 	93.43 	93.72 p	101.22 p	92.95 	94.91 	94.03 	89.22 	85.24 	84.56 
A,A2000,THS_HD,ES41	1238.13 	1282.29 	1337.99 	1372.58 	1414.60 	1422.68 p	1463.46 	1475.32 	1484.67 	1454.39 	1417.24 	1376.16 
A,A2000,THS_HD,ES42	354.47 	360.55 	397.79 	425.93 	460.35 	470.16 p	479.81 	480.22 	466.72 	468.12 	482.09 	458.78 
A,A2000,THS_HD,ES43	727.98 	782.88 	807.52 	833.25 	850.43 	842.26 p	888.23 	890.20 	891.32 	860.84 	811.14 	812.30 
A,A2000,THS_HD,ES51	563.86 	586.42 	604.24 	620.18 	643.25 	664.83 p	637.51 	650.90 	628.60 	581.57 	605.95 	604.27 
A,A2000,THS_HD,ES52	50.66 	45.51 	54.36 	55.44 	54.87 	58.47 p	57.94 	57.02 	54.25 	53.49 	53.54 	53.58 
A,A2000,THS_HD,ES53	26.63 	28.84 	25.40 	26.89 	27.59 	27.19 p	26.98 	26.56 	26.10 	25.35 	24.67 	23.62 
A,A2000,THS_HD,ES61	493.75 	540.98 	517.72 	519.97 	529.53 	533.32 p	542.87 	544.26 	540.78 	513.12 	478.00 	472.59 
A,A2000,THS_HD,ES62	66.41 	67.04 	70.16 	77.45 	79.75 	84.94 p	80.70 	83.86 	77.61 	77.21 	77.86 	76.56 
A,A2000,THS_HD,ES63	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 p	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,A2000,THS_HD,ES64	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 p	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,A2000,THS_HD,ES70	18.13 	17.57 	19.57 	20.39 	19.27 p	20.00 p	19.92 	20.18 	20.38 	20.88 	18.91 	20.20 
A,A2000,THS_HD,FI19	290.04 	293.01 	293.70 	290.41 	288.64 	284.88 	282.77 	282.41 	282.82 	283.21 	275.75 	263.80 
A,A2000,THS_HD,FI1B	22.26 	22.56 	23.10 	22.28 	21.50 	20.76 	20.09 	20.23 	20.05 	19.97 	19.10 	18.20 
A,A2000,THS_HD,FI1C	117.56 	117.29 	117.20 	113.72 	112.07 	108.64 	104.64 	104.71 	103.78 	103.81 	101.85 	96.80 
A,A2000,THS_HD,FI1D	465.48 	466.04 	460.50 	451.76 	443.52 	436.97 	425.19 	419.54 	415.14 	406.96 	394.20 	377.88 
A,A2000,THS_HD,FI20	8.02 	8.50 	8.90 	9.09 	8.78 	8.14 	8.04 	8.49 	8.19 	8.02 	7.75 	7.36 
A,A2000,THS_HD,FR10	29.00 	28.00 p	29.00 	27.00 	26.58 	26.34 	25.17 	24.36 	24.05 	23.41 	22.50 p	21.24 
A,A2000,THS_HD,FR30	701.00 	709.00 p	710.00 	694.00 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,FR91	56.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,FR93	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,FR94	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,FRB0	610.00 	612.00 p	628.00 	606.00 	599.68 	590.76 	576.09 	573.09 	558.25 	547.76 	542.41 p	529.59 
A,A2000,THS_HD,FRC1	1347.00 	1348.00 p	1374.00 	1319.00 	1321.31 	1292.93 	1269.33 	1257.15 	1231.66 	1223.22 	1218.79 p	1194.28 
A,A2000,THS_HD,FRC2	618.00 	625.00 p	637.00 	634.00 	642.50 	621.14 	611.44 	600.36 	593.20 	585.58 	591.73 p	588.18 
A,A2000,THS_HD,FRD1	1609.00 	1619.00 p	1627.00 	1595.00 	1608.28 	1585.38 	1562.79 	1536.06 	1486.06 	1473.61 	1459.53 p	1434.57 
A,A2000,THS_HD,FRD2	602.00 	601.00 p	593.00 	577.00 	575.50 	563.61 	552.58 	536.51 	516.69 	511.26 	504.88 p	489.46 
A,A2000,THS_HD,FRE1	701.00 	709.00 p	710.00 	694.00 	694.01 	687.51 	681.25 	671.97 	655.13 	652.42 	647.17 p	630.79 
A,A2000,THS_HD,FRE2	531.00 	533.00 p	529.00 	513.00 	505.25 	492.31 	487.08 	479.38 	464.09 	459.37 	453.28 p	439.63 
A,A2000,THS_HD,FRF1	168.00 	171.00 p	173.00 	171.00 	172.89 	168.32 	166.34 	162.93 	159.18 	157.24 	157.44 p	154.49 
A,A2000,THS_HD,FRF2	594.00 	596.00 p	599.00 	587.00 	582.34 	571.31 	561.51 	547.52 	528.93 	522.20 	518.87 p	509.00 
