freq,animals,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,A2000,THS_HD,ME00	89.00 	94.00 	92.00 	89.00 p	87.00 	83.30 p	81.40 p	77.89 p	71.17 p	70.77 p	68.83 p	67.50 p
A,A2000,THS_HD,MK00	238.00 	242.00 	253.00 	255.00 	255.00 	256.00 	219.00 	222.00 	178.00 	165.00 	149.00 	144.00 
A,A2000,THS_HD,MT00	15.22 	14.88 	15.02 	14.36 	14.18 	14.12 	14.00 	14.29 	14.02 	14.20 	14.23 	13.80 
A,A2000,THS_HD,NL11	208.00 	214.00 	227.00 	227.00 	208.00 	186.00 	190.00 	189.00 	191.00 	191.00 	193.00 	191.00 
A,A2000,THS_HD,NL12	551.00 	567.00 	605.00 	602.00 	559.00 	506.00 	517.00 	530.00 	524.00 	535.00 	531.00 	517.00 
A,A2000,THS_HD,NL13	241.00 	248.00 	262.00 	261.00 	240.00 	218.00 	220.00 	217.00 	219.00 	219.00 	224.00 	215.00 
A,A2000,THS_HD,NL21	645.00 	653.00 	681.00 	670.00 	639.00 	593.00 	587.00 	590.00 	594.00 	610.00 	602.00 	585.00 
A,A2000,THS_HD,NL22	943.00 	956.00 	949.00 	949.00 	896.00 	869.00 	878.00 	850.00 	863.00 	875.00 	875.00 	790.00 
A,A2000,THS_HD,NL23	68.00 	71.00 	78.00 	78.00 	72.00 	65.00 	66.00 	63.00 	66.00 	67.00 	66.00 	63.00 
A,A2000,THS_HD,NL31	201.00 	201.00 	214.00 	208.00 	195.00 	178.00 	197.00 	201.00 	197.00 	202.00 	: 	: 
A,A2000,THS_HD,NL32	161.00 	166.00 	178.00 	178.00 	166.00 	146.00 	151.00 	149.00 	150.00 	152.00 	149.00 	146.00 
A,A2000,THS_HD,NL33	190.00 	196.00 	206.00 	205.00 	188.00 	168.00 	154.00 	156.00 	155.00 	157.00 	: 	: 
A,A2000,THS_HD,NL34	55.00 	59.00 	60.00 	61.00 	57.00 	50.00 	51.00 	50.00 	51.00 	53.00 	53.00 	50.00 
A,A2000,THS_HD,NL35	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	199.00 	189.00 
A,A2000,THS_HD,NL36	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	157.00 	154.00 
A,A2000,THS_HD,NL41	676.00 	688.00 	702.00 	701.00 	667.00 	584.00 	580.00 	571.00 	570.00 	568.00 	567.00 	549.00 
A,A2000,THS_HD,NL42	149.00 	150.00 	154.00 	156.00 	145.00 	125.00 	128.00 	123.00 	123.00 	121.00 	123.00 	113.00 
A,A2000,THS_HD,PL11	427.74 	446.81 	450.54 	473.20 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,PL12	1022.73 	1043.96 	1091.68 	1098.50 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,PL21	167.56 	166.40 	169.69 	178.10 	162.60 	172.50 	169.00 	176.80 	166.00 	157.82 	153.20 	149.42 
A,A2000,THS_HD,PL22	115.45 	116.47 	116.28 	122.70 	120.10 	124.80 	128.50 	127.00 	134.40 	134.01 	130.87 	131.07 
A,A2000,THS_HD,PL31	361.48 	346.01 	362.80 	371.80 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,PL32	92.5 	89.11 	89.33 	84.40 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,PL33	157.69 	153.92 	161.94 	166.50 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,PL34	930.82 	938.71 	952.38 	959.80 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,PL41	860.29 	884.05 	911.99 	1003.30 	999.30 	1030.80 	1042.10 	1087.50 	1157.50 	1186.21 	1174.86 	1188.17 
A,A2000,THS_HD,PL42	94.81 	95.73 	95.89 	92.50 	92.50 	107.00 	110.80 	115.70 	112.10 	112.61 	109.05 	111.50 
A,A2000,THS_HD,PL43	70.59 	75.34 	72.74 	73.00 	77.60 	81.20 	82.40 	86.90 	81.30 	90.78 	91.39 	97.33 
A,A2000,THS_HD,PL51	93.93 	102.76 	104.52 	102.50 	100.30 	100.80 	104.80 	104.20 	97.30 	108.77 	105.93 	103.19 
A,A2000,THS_HD,PL52	110.06 	109.23 	116.81 	122.90 	122.90 	126.60 	125.30 	129.00 	134.70 	138.91 	138.78 	139.85 
A,A2000,THS_HD,PL61	460.48 	476.04 	466.36 	492.60 	518.70 	512.80 	516.90 	506.80 	502.50 	510.03 	494.54 	494.22 
A,A2000,THS_HD,PL62	427.56 	425.95 	405.72 	419.10 	452.20 	451.70 	473.00 	489.00 	483.60 	479.61 	456.57 	441.30 
A,A2000,THS_HD,PL63	195.87 	189.79 	193.86 	209.40 	210.20 	210.90 	219.10 	217.90 	223.80 	236.51 	228.10 	225.60 
A,A2000,THS_HD,PL71	427.74 	446.81 	450.54 	473.20 	465.00 	475.30 	491.00 	468.30 	446.10 	449.10 	430.36 	421.81 
A,A2000,THS_HD,PL72	: 	: 	: 	: 	157.00 	153.40 	158.30 	154.90 	144.60 	144.53 	135.21 	131.32 
A,A2000,THS_HD,PL81	361.48 	346.01 	362.80 	371.80 	361.70 	378.30 	389.10 	379.50 	363.40 	360.18 	343.70 	334.79 
A,A2000,THS_HD,PL82	92.50 	89.11 	89.33 	84.40 	80.50 	76.10 	70.00 	68.40 	71.30 	74.32 	72.54 	69.90 
A,A2000,THS_HD,PL84	930.82 	938.71 	952.38 	959.80 	992.80 	1006.90 	1017.60 	1023.80 	1095.40 	1058.73 	1037.64 	1019.39 
A,A2000,THS_HD,PL91	: 	: 	: 	: 	57.00 	63.40 	62.10 	57.50 	65.50 	68.72 	66.02 	61.64 
A,A2000,THS_HD,PL92	: 	: 	: 	: 	1065.30 	1110.80 	1101.30 	1085.60 	1099.20 	1137.45 	1098.71 	1070.45 
A,A2000,THS_HD,PT11	319.52 	326.63 	330.85 	319.85 p	315.05 	305.33 	308.10 	308.86 	306.41 	300.92 	299.66 	290.84 
A,A2000,THS_HD,PT15	9.59 	10.27 	10.27 	10.00 p	9.87 	8.81 	9.18 	8.80 	8.87 	8.21 	8.50 	7.76 
A,A2000,THS_HD,PT16	183.80 	193.72 	197.96 	192.98 p	198.32 	195.53 	196.31 	195.51 	190.22 	189.40 	: 	: 
A,A2000,THS_HD,PT17	52.88 	54.05 	56.79 	76.89 p	88.02 	75.34 	71.63 	74.54 	70.67 	59.07 	: 	: 
A,A2000,THS_HD,PT18	635.70 	693.67 	729.45 	758.68 p	776.77 	764.46 	804.85 	810.11 	770.67 	739.31 	: 	: 
A,A2000,THS_HD,PT19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146.49 	140.18 
A,A2000,THS_HD,PT1A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.41 	12.89 
A,A2000,THS_HD,PT1B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.68 	30.28 
A,A2000,THS_HD,PT1C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	628.99 	628.60 
A,A2000,THS_HD,PT1D	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	108.33 	100.37 
A,A2000,THS_HD,PT20	264.62 	266.57 	276.81 	272.91 p	278.19 p	279.26 	281.17 	289.96 	290.28 	278.85 	280.46 	273.02 
A,A2000,THS_HD,PT30	4.38 	3.70 	3.73 	3.70 p	3.80 p	3.68 	3.73 	3.55 	3.53 	3.38 	3.22 	2.96 
A,A2000,THS_HD,RO11	351.50 	366.90 	369.10 	373.40 	366.20 	365.30 	368.90 	361.40 	355.10 	374.60 	383.40 	378.30 
A,A2000,THS_HD,RO12	320.90 	332.40 	339.60 	339.70 	347.40 	345.70 	341.00 	353.40 	374.10 	380.50 	386.30 	389.10 
A,A2000,THS_HD,RO21	524.50 	530.20 	533.80 	511.80 	499.70 	486.50 	466.30 	455.40 	422.30 	408.20 	399.80 	392.30 
A,A2000,THS_HD,RO22	238.60 	242.90 	245.10 	229.90 	229.70 	230.30 	216.20 	190.70 	190.10 	190.90 	177.80 	174.00 
A,A2000,THS_HD,RO31	232.40 	235.30 	241.80 	233.80 	225.70 	215.50 	206.20 	195.50 	185.30 	186.20 	178.60 	178.00 
A,A2000,THS_HD,RO32	6.80 	7.70 	7.00 	7.70 	6.90 	5.30 	4.60 	4.50 	3.70 	3.70 	3.50 	3.20 
A,A2000,THS_HD,RO41	194.10 	196.10 	196.50 	191.90 	178.20 	173.20 	165.30 	160.00 	144.30 	140.40 	134.90 	132.50 
A,A2000,THS_HD,RO42	153.60 	157.40 	159.50 	161.50 	157.30 	155.40 	154.80 	154.30 	151.90 	149.20 	150.40 	162.00 
A,A2000,THS_HD,RS11	: 	61.26 	56.98 	48.25 	48.00 	47.00 	46.00 	46.00 	46.00 	41.46 	34.66 	32.99 
A,A2000,THS_HD,RS12	: 	262.22 	248.55 	250.94 	260.00 	256.00 	264.00 	260.00 	257.00 	243.95 	230.33 	228.01 
A,A2000,THS_HD,RS21	: 	416.05 	432.00 	411.86 	412.00 	410.00 	415.00 	411.00 	392.00 	361.06 	330.00 	318.44 
A,A2000,THS_HD,RS22	: 	180.54 	178.11 	181.70 	179.00 	166.00 	173.00 	170.00 	165.00 	153.37 	130.42 	119.17 
A,A2000,THS_HD,SE11	16.54 	16.30 	16.11 	16.00 	16.44 	15.23 	15.04 	14.99 	15.38 	15.00 	15.00 	14.22 
A,A2000,THS_HD,SE12	242.76 	240.20 	238.05 	239.47 	241.71 	238.58 	233.83 	232.96 	233.29 	230.00 	225.00 	217.46 
A,A2000,THS_HD,SE21	389.02 	390.62 	388.19 	389.66 	391.91 	386.64 	377.00 	374.67 	372.96 	374.00 	367.00 	360.62 
A,A2000,THS_HD,SE22	227.35 	225.47 	225.37 	227.21 	229.18 	227.13 	223.43 	217.84 	218.41 	221.00 	218.00 	211.84 
A,A2000,THS_HD,SE23	335.88 	334.23 	334.26 	337.02 	340.59 	341.65 	333.60 	332.06 	331.14 	331.00 	328.00 	322.01 
A,A2000,THS_HD,SE31	116.32 	115.41 	116.19 	117.54 	121.10 	119.46 	116.88 	114.60 	115.12 	115.00 	113.00 	109.38 
A,A2000,THS_HD,SE32	57.29 	56.92 	55.07 	54.98 	53.76 	53.39 	52.95 	52.42 	52.50 	54.00 	54.00 	51.32 
A,A2000,THS_HD,SE33	58.35 	57.39 	55.17 	54.17 	53.91 	53.39 	51.94 	51.43 	51.10 	50.00 	50.00 	46.99 
A,A2000,THS_HD,SI01	313.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,SI02	147.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,SI03	318.40 	324.03 	336.54 p	339.93 	333.99 	332.63 	337.96 	339.74 	338.32 	327.96 	321.31 	319.04 
A,A2000,THS_HD,SI04	142.18 	144.23 	147.54 p	148.67 	145.62 	144.18 	145.11 	145.87 	144.30 	136.95 	134.74 	134.85 
A,A2000,THS_HD,SK01	13.34 	13.95 	14.23 	14.77 	14.28 	13.67 	12.91 	13.67 	12.82 	12.70 	12.81 	12.31 
A,A2000,THS_HD,SK02	184.10 	176.86 	169.50 	158.92 	154.48 	152.09 	149.83 	153.82 	152.69 	148.44 	147.49 	141.12 
A,A2000,THS_HD,SK03	142.06 	145.54 	143.28 	140.81 	139.99 	141.23 	138.71 	140.02 	140.30 	140.91 	138.91 	135.28 
A,A2000,THS_HD,SK04	128.33 	129.19 	130.57 	131.61 	131.08 	131.87 	130.81 	134.77 	128.28 	131.13 	130.52 	127.98 
A,A2000,THS_HD,TR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89.01 	80.67 
A,A2000,THS_HD,TR21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	436.16 	437.06 
A,A2000,THS_HD,TR22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	738.53 	786.88 
A,A2000,THS_HD,TR31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	816.34 	883.65 
A,A2000,THS_HD,TR32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	993.92 	1023.17 
A,A2000,THS_HD,TR33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	926.84 	967.69 
A,A2000,THS_HD,TR41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	406.25 	407.57 
A,A2000,THS_HD,TR42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	491.56 	515.17 
A,A2000,THS_HD,TR51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	610.51 	630.21 
A,A2000,THS_HD,TR52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	989.29 	1007.19 
A,A2000,THS_HD,TR61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	500.78 	503.66 
A,A2000,THS_HD,TR62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	351.39 	351.97 
A,A2000,THS_HD,TR63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	440.79 	435.78 
A,A2000,THS_HD,TR71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	956.41 	1013.16 
A,A2000,THS_HD,TR72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1044.23 	1032.71 
A,A2000,THS_HD,TR81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	148.64 	148.77 
A,A2000,THS_HD,TR82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	497.05 	501.09 
A,A2000,THS_HD,TR83	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1029.06 	1017.59 
A,A2000,THS_HD,TR90	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	483.68 	502.18 
A,A2000,THS_HD,TRA1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	878.71 	893.90 
A,A2000,THS_HD,TRA2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1325.61 	1342.40 
A,A2000,THS_HD,TRB1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	488.16 	493.23 
A,A2000,THS_HD,TRB2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	474.11 	502.32 
A,A2000,THS_HD,TRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	320.20 	307.57 
A,A2000,THS_HD,TRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	894.85 	924.99 
A,A2000,THS_HD,TRC3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	250.92 	275.73 
A,A2000,THS_HD,UKN0	1554.00 	1564.00 	1610.00 	1625.00 	1627.00 p	1586.00 p	1564.00 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,AT11	4.30 	4.28 	3.99 	3.92 	3.94 	3.69 	3.51 	3.47 	3.31 	3.38 	3.12 	3.00 
A,A2300F,THS_HD,AT12	104.13 	104.69 	102.65 	103.59 	104.31 	102.09 	99.97 	99.11 	100.39 	104.89 	102.98 	100.85 
A,A2300F,THS_HD,AT13	0.02 	0.03 	0.02 	0.02 	0.02 	0.03 	0.03 	0.03 	0.03 	0.00 	0.01 	0.00 
A,A2300F,THS_HD,AT21	33.79 	34.26 	33.32 	34.40 	34.72 	34.35 	33.79 	33.98 	33.54 	34.77 	34.10 	33.92 
A,A2300F,THS_HD,AT22	80.56 	82.17 	80.80 	81.95 	82.47 	81.26 	79.99 	79.59 	79.34 	81.74 	80.45 	79.99 
A,A2300F,THS_HD,AT31	167.69 	169.69 	166.25 	166.19 	167.43 	162.94 	159.79 	160.78 	161.64 	171.17 	168.71 	164.15 
A,A2300F,THS_HD,AT32	57.57 	59.13 	57.48 	58.96 	59.61 	59.23 	58.30 	58.95 	58.88 	62.21 	61.58 	61.71 
A,A2300F,THS_HD,AT33	57.28 	58.65 	64.29 	65.24 	65.09 	63.77 	63.04 	63.25 	63.76 	66.23 	66.03 	66.20 
A,A2300F,THS_HD,AT34	24.22 	24.85 	25.29 	25.61 	25.84 	25.52 	25.66 	25.64 	25.58 	26.15 	26.07 	25.99 
A,A2300F,THS_HD,BE10	0.18 	0.28 	0.27 	0.10 	0.21 	0.21 	0.22 	0.21 	0.21 	0.27 	0.26 	0.26 
A,A2300F,THS_HD,BE21	75.31 	75.65 	81.19 	85.68 	85.91 	88.73 	91.12 	92.30 	93.92 	94.59 	93.02 	89.54 
A,A2300F,THS_HD,BE22	37.13 	37.85 	39.23 	38.96 	39.34 	40.32 	40.66 	40.88 	40.74 	40.95 	40.48 	39.75 
A,A2300F,THS_HD,BE23	77.56 	79.58 	82.40 	84.85 	83.53 	85.35 	87.86 	89.15 	88.56 	90.81 	90.13 	87.94 
A,A2300F,THS_HD,BE24	17.41 	17.87 	17.96 	18.80 	18.63 	18.41 	18.41 	18.69 	18.68 	19.00 	18.99 	18.36 
A,A2300F,THS_HD,BE25	90.52 	91.08 	95.25 	96.97 	95.33 	97.88 	101.04 	102.82 	103.62 	106.15 	104.47 	101.51 
A,A2300F,THS_HD,BE31	7.30 	7.32 	7.29 	7.25 	6.41 	7.21 	7.13 	7.12 	6.93 	6.99 	6.67 	6.38 
A,A2300F,THS_HD,BE32	62.67 	65.18 	64.33 	61.19 	58.52 	58.96 	59.20 	58.23 	56.80 	56.91 	55.43 	53.13 
A,A2300F,THS_HD,BE33	80.46 	80.21 	78.51 	76.83 	74.87 	75.13 	74.96 	73.60 	72.62 	72.70 	71.23 	68.51 
A,A2300F,THS_HD,BE34	29.70 	31.56 	30.69 	29.82 	27.41 	27.95 	28.16 	27.14 	27.54 	27.61 	27.60 	26.79 
A,A2300F,THS_HD,BE35	31.30 	32.51 	31.64 	30.13 	29.00 	29.09 	29.20 	27.81 	27.64 	27.70 	27.27 	26.20 
A,A2300F,THS_HD,BG31	40.37 	37.68 	38.86 	40.86 	40.21 	39.53 	37.63 	40.00 	34.69 	32.92 	32.74 	30.90 
A,A2300F,THS_HD,BG32	38.43 	37.58 	37.28 	37.92 	35.35 	34.16 	30.21 	32.72 	35.53 	31.38 	29.74 	28.05 
A,A2300F,THS_HD,BG33	42.45 	43.02 	42.72 	40.71 	38.94 	34.87 	32.67 	33.74 	31.62 	28.55 	27.65 	26.02 
A,A2300F,THS_HD,BG34	52.20 	54.82 	52.73 	52.57 	48.07 	47.56 	44.64 	47.08 	44.39 	39.57 	40.22 	36.76 
A,A2300F,THS_HD,BG41	30.61 	25.58 	24.88 	23.76 	21.30 	18.21 	17.46 	20.76 	20.45 	21.09 	17.86 	18.08 
A,A2300F,THS_HD,BG42	109.20 	103.03 	86.49 	83.10 	76.91 	70.04 	64.09 	67.65 	63.67 	59.34 	54.21 	49.78 
A,A2300F,THS_HD,CH01	: 	: 	44.40 	44.22 	43.82 	43.13 	42.52 	42.13 	42.28 	41.49 	40.40 	39.84 
A,A2300F,THS_HD,CH02	: 	: 	217.94 	217.46 	216.41 	214.39 	211.42 	205.00 	206.22 	202.80 	198.43 	196.72 
A,A2300F,THS_HD,CH03	: 	: 	35.01 	34.41 	33.36 	33.19 	32.31 	31.18 	30.73 	30.24 	29.95 	29.35 
A,A2300F,THS_HD,CH04	: 	: 	35.14 	34.65 	34.10 	33.75 	32.71 	31.88 	31.66 	31.10 	30.47 	29.96 
A,A2300F,THS_HD,CH05	: 	: 	137.76 	136.50 	135.37 	99.74 	130.66 	131.36 	130.96 	129.90 	128.95 	128.25 
A,A2300F,THS_HD,CH06	: 	: 	103.56 	101.53 	100.44 	133.55 	98.47 	96.65 	95.34 	94.07 	92.86 	92.56 
A,A2300F,THS_HD,CH07	: 	: 	3.75 	3.85 	3.63 	3.67 	3.67 	3.55 	3.54 	3.44 	3.31 	3.33 
A,A2300F,THS_HD,CY00	24.55 p	25.32 	25.82 p	28.46 	30.23 p	31.07 	35.02 	39.49 	38.92 	38.22 	38.66 	38.70 
A,A2300F,THS_HD,CZ01	0.40 	0.37 	0.43 	0.53 	0.44 	0.45 	0.53 	0.65 	0.51 	0.52 	0.27 	0.45 
A,A2300F,THS_HD,CZ02	45.77 	43.82 	44.00 	43.45 	43.75 	43.62 	42.29 	41.61 	43.04 	41.99 	42.92 	43.57 
A,A2300F,THS_HD,CZ03	88.65 	88.72 	85.93 	86.58 	86.99 	83.62 	85.75 	83.91 	85.85 	84.09 	84.47 	84.35 
A,A2300F,THS_HD,CZ04	14.83 	15.20 	14.89 	15.50 	14.69 	14.37 	13.60 	13.67 	13.37 	12.42 	12.76 	13.18 
A,A2300F,THS_HD,CZ05	75.71 	74.94 	74.64 	73.69 	71.33 	71.35 	70.63 	70.12 	71.25 	69.44 	69.63 	68.37 
A,A2300F,THS_HD,CZ06	85.80 	84.62 	85.71 	87.15 	86.81 	84.76 	86.57 	85.98 	87.00 	87.08 	87.57 	89.35 
A,A2300F,THS_HD,CZ07	43.31 	43.82 	43.24 	40.58 	42.01 	41.32 	41.79 	41.71 	42.03 	40.88 	40.62 	41.87 
A,A2300F,THS_HD,CZ08	20.85 	20.91 	20.21 	19.84 	19.44 	19.13 	20.27 	19.37 	19.29 	20.24 	19.42 	18.89 
A,A2300F,THS_HD,DE30	: 	: 	: 	: 	: 	: 	: 	0.11 	0.11 	0.11 	0.10 	0.10 
A,A2300F,THS_HD,DE40	: 	: 	: 	: 	: 	: 	: 	137.07 	132.35 	128.95 	123.62 	118.19 
A,A2300F,THS_HD,DE50	: 	: 	: 	: 	: 	: 	: 	3.30 	3.15 	3.16 	3.02 	2.91 
A,A2300F,THS_HD,DE60	: 	: 	: 	: 	: 	: 	: 	1.19 	1.14 	1.18 	1.03 	0.95 
A,A2300F,THS_HD,DE80	: 	: 	: 	: 	: 	: 	: 	159.12 	153.15 	151.35 	149.23 	144.12 
A,A2300F,THS_HD,DEC0	: 	: 	: 	: 	: 	: 	: 	12.68 	12.50 	12.36 	11.92 	11.22 
A,A2300F,THS_HD,DEE0	125.01 	127.03 	125.74 	119.75 	119.36 	116.43 	113.05 	108.10 	103.63 	101.16 	97.69 	93.22 
A,A2300F,THS_HD,DEF0	: 	: 	: 	: 	: 	: 	: 	370.89 	360.25 	357.57 	341.63 	: 
A,A2300F,THS_HD,DEG0	: 	: 	: 	: 	: 	: 	: 	91.45 	87.12 	84.29 	81.40 	79.04 
A,A2300F,THS_HD,DK01	9.00 	9.00 	9.00 	9.00 	9.00 	9.00 	8.00 	8.00 	8.00 	7.81 	6.71 	6.57 
A,A2300F,THS_HD,DK02	21.00 	21.00 	20.00 	19.00 	19.00 	18.00 	18.00 	18.00 	17.00 	16.74 	16.90 	16.89 
A,A2300F,THS_HD,DK03	235.00 	227.00 	237.00 	235.00 	239.00 	238.00 	236.00 	236.00 	233.00 	230.64 	226.92 	222.32 
A,A2300F,THS_HD,DK04	167.00 	161.00 	169.00 	169.00 	173.00 	171.00 	168.00 	169.00 	168.00 	168.15 	166.18 	167.73 
A,A2300F,THS_HD,DK05	134.00 	130.00 	135.00 	133.00 	135.00 	134.00 	133.00 	134.00 	134.00 	132.95 	130.13 	129.27 
A,A2300F,THS_HD,EE00	97.10 p	95.10 p	90.50 p	86.10 	86.40 	85.20 	85.00 	84.30 	83.70 	83.74 	83.35 	82.90 
A,A2300F,THS_HD,EL11	20.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL12	65.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL13	10.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL14	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL21	3.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL22	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL23	5.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL24	2.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL25	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2300F,THS_HD,EL30	2.20 	1.90 	1.10 	1.00 	1.30 p	0.70 p	0.90 	1.50 	1.70 	1.30 	0.60 	0.29 
A,A2300F,THS_HD,EL41	0.20 	0.00 	0.10 	0.50 	0.10 	0.10 	0.40 	0.40 	0.10 	0.20 	0.36 	0.23 
A,A2300F,THS_HD,EL42	4.10 	5.30 	6.00 	6.10 	6.70 	2.00 	6.50 	3.90 	3.60 	3.10 	3.69 	2.99 
A,A2300F,THS_HD,EL43	0.10 	0.30 	0.20 	0.10 	0.10 	0.00 n	0.10 	0.20 	0.10 	0.20 	0.22 	0.03 
A,A2300F,THS_HD,EL51	19.40 	18.20 	16.40 	14.60 	13.90 	13.90 	14.10 	13.40 	10.40 	10.00 	11.91 	10.33 
A,A2300F,THS_HD,EL52	65.70 	60.00 	50.70 	48.40 	44.80 	43.20 	36.10 	42.20 	48.70 	38.00 	41.91 	41.42 
A,A2300F,THS_HD,EL53	11.60 	14.30 	9.60 	10.20 	9.30 	7.80 	5.70 	7.10 	6.70 	5.10 	5.51 	3.16 
A,A2300F,THS_HD,EL54	3.30 	5.90 	4.90 	5.00 	3.00 	4.70 	3.00 	2.90 	5.70 	3.90 	4.26 	3.86 
A,A2300F,THS_HD,EL61	13.30 	15.10 	12.10 	10.80 	10.80 	15.10 	11.20 	11.50 	6.00 	12.50 	10.11 	9.14 
A,A2300F,THS_HD,EL62	0.30 	0.10 	0.20 	: 	0.00 	0.00 n	0.10 	0.20 	0.10 	0.00 	0.21 	0.53 
A,A2300F,THS_HD,EL63	5.30 	5.90 	5.30 	5.80 	4.30 	3.90 	3.50 	3.10 	2.80 	3.80 	4.19 	2.06 
A,A2300F,THS_HD,EL64	3.20 	6.50 	1.90 	1.50 	3.10 	2.30 	2.60 	2.40 	3.90 	1.60 	3.90 	4.05 
A,A2300F,THS_HD,EL65	1.20 	1.90 	2.50 	2.00 	0.60 	1.50 	1.50 	1.20 	1.60 	0.70 	1.35 	1.45 
A,A2300F,THS_HD,ES11	368.91 	373.81 	360.29 	351.63 	345.89 	341.34 p	340.06 	339.98 	336.72 	334.26 	337.16 	328.10 
A,A2300F,THS_HD,ES12	72.97 	73.70 	73.36 	79.43 	69.79 	67.59 p	66.64 	64.12 	69.37 	65.89 	61.81 	60.33 
A,A2300F,THS_HD,ES13	52.61 	53.85 	52.37 	52.88 	49.92 	49.62 p	51.35 	51.79 	48.21 	70.27 	50.06 	46.76 
A,A2300F,THS_HD,ES21	20.39 	20.56 	19.97 	19.75 	19.33 	18.67 p	18.55 	18.13 	16.79 	15.41 	15.97 	16.89 
A,A2300F,THS_HD,ES22	24.02 	24.79 	25.32 	22.12 	24.31 	24.99 p	24.15 	24.65 	24.79 	24.10 	25.20 	25.49 
A,A2300F,THS_HD,ES23	2.05 	2.11 	2.01 	2.20 	2.09 	2.44 p	2.58 	2.83 	2.81 	2.62 	2.47 	2.16 
A,A2300F,THS_HD,ES24	14.02 	14.68 	14.79 	15.49 	15.42 	16.17 p	16.74 	17.36 	16.73 	16.22 	16.20 	15.73 
A,A2300F,THS_HD,ES30	6.44 	6.64 	6.48 	6.01 	5.91 p	7.15 p	6.15 	6.24 	6.07 	5.93 	5.65 	5.61 
A,A2300F,THS_HD,ES41	98.98 	95.73 	95.49 	91.68 	94.07 	93.15 p	93.81 	92.42 	91.74 	89.07 	87.62 	87.28 
A,A2300F,THS_HD,ES42	24.45 	23.34 	25.40 	24.68 	25.74 	25.23 p	24.32 	24.32 	25.60 	25.55 	25.76 	26.53 
