freq,hatchitm,animals,unit,geo\TIME_PERIOD	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CU,A5231P,THS,BE	: 	: 	: 	: 	: 	: 	1540 	1314.4 	1065 	1080 	1036 	1175 	1478 	957 	895 	1290 	1599 	1265 	1501 	1804 	2145 	1248.5 	1058 	1123 	1357 	947 	1660 	590 	973 	1703 	1525 	1736 	848 	757 	997 	815 	538 	963 	772 	734.3 	525.4 	1309.5 	403.8 	491.8 	572 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5231P,THS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5231P,THS,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102.4 	95 	94.7 	: 	: 	: 	10.6 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5231P,THS,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2492 	1771 	1680 	1327 	1498 	1330 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5231P,THS,DE	: 	: 	: 	: 	: 	: 	2896.9 	2759.6 	2788.5 	3768 	4461 	5317 	5878 	5383.7 	5541.4 	6250 	6791.1 	7074.4 	8029 	8865 	10081 	11118 	13276 	14741 	17227 b	18893 	18802 	21174.7 	21489.9 	22645.2 	26874.8 	28544.5 	29908 	33589.7 	37780.2 	: 	38210.8 	39639 	40547.4 	38582.9 	42435.8 	43053.4 	44755.5 	45523.2 	47187.7 	47654.5 	47865.65 	51126.54 	52322.36 	56379.13 p	54469.4 p	56156.87 p	56381.86 p	55400.87 p	50078.76 p	46045.06 p	47999.3 p	47379.37 p
A,CU,A5231P,THS,DK	: 	: 	: 	: 	: 	: 	1182.5 	944.1 	716.2 	899.5 	973.3 	1161.2 	1575.2 	934.7 	834.4 	1009.3 	1103.1 	849.8 	815.5 	904.5 	569.4 	579.9 	555 	583 	609 	253 	339 	222 	837 	: 	393 	336 	287 	177 	238 	298 	220 	: 	160 	41 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: @C	: @C	: @C	0 	0 	0 	0 	0 	0 
A,CU,A5231P,THS,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	9 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5231P,THS,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	633 	359.3 	512.2 	449.5 	301 	333.5 	150 	234 p	136 	293 	287 	298 	: 	136 	133 	169 	152 	137 	113 	183 	234 e	230 	138 e	237 	230 	97 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	306 	427 	324.13 	664.05 	804.94 
A,CU,A5231P,THS,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4137 e	4511 	3786 	4802.3 	4367 	3404 	2729 	2585 	2301 	3158 	3772 	3333 	2888 	3082.7 	3485.3 	3561.5 	3568.3 	3596.4 	3686.4 	3829.7 	3740 	3737.1 	3610.5 	3960.8 p	12532.6 p	14346.5 p	15737.2 p	16793.6 p	16678.1 p	17691.82 p	21732.06 p	23052.57 p	25025.33 p	25136.38 p	23979.35 p	24005.46 p	26265.45 	24932.35 	26153.47 
A,CU,A5231P,THS,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: 	: 	: 	: 	: 
A,CU,A5231P,THS,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: 	: 	: 	: 	: 
A,CU,A5231P,THS,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: 	: 	: 
A,CU,A5231P,THS,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: 	: 	: 
A,CU,A5231P,THS,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: 	: 	: 	: 	: 
A,CU,A5231P,THS,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	498 	741 	878 	1471 	1800 	1841 	1938 	1619 	1511 	1400 	1222 	1001 	1019 	990 	984 	848 	848 	868 	949 	947 	965 	962 	944 	974 	975 	943 	901 
A,CU,A5231P,THS,FR	: 	: 	: 	5322 	14837 	19205 	28077 	29301 	28683 	34582 	36061 	41288 	46980 	51379 	54340 	59062 	59192 	55971 	61565 	67802 	71881 	75480 	85232 	93831 	104533 	107127 	106291 	115269 	123784 	126813 	130385 	130175 	124623 	136703 	135308 	120387 	121191 	118414 	105326 	95485 	96976.6 	89384 p	84719.6 p	80227.7 p	77700.6 p	72192.2 p	70174.28 p	68195.73 p	71519 p	65655.64 p	64539.25 p	57040.23 p	57371.23 p	51378.13 p	48184.61 p	40275.34 p	38569.59 p	39675.63 
A,CU,A5231P,THS,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1165 	1312 	1286 	1604 	: 	1739 	1675 	1830 	1723 p	1649 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5231P,THS,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12652 	12010 	13030.9 	12612.8 	12357.5 	11884.9 	11720.6 	9645.2 	8327.4 	7407.8 	5877.5 	5279.64 	5057.07 	5592.6 	6134.28 	5578.16 	5865.23 	6201.76 	6601.77 	6471.3 	6813.44 	6763.81 	6457.3 	6422.44 
A,CU,A5231P,THS,IE	: 	: 	: 	: 	: 	: 	974 	876.2 	799.8 	1157.8 	1254.2 	1395.8 	1679.1 	2021.7 	1962.8 	2027 	2384.1 	2258.3 	2541.8 	2982.8 	3155.4 	3475.1 	3717.2 	4317.8 	4543.9 	4417.5 	3784.1 	4365.4 	4568.4 	4510.9 	4480.2 	4294.6 	4020.4 	4036 	4131.2 	3681.5 	3712.8 	4237.7 	3617.9 	3014.1 	2538.5 	2482.9 	817.7 	242 	643 	572 	574 	312 	318 	587 	591 	562 	577 	396 	477 	496 	444 	465 
A,CU,A5231P,THS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	50.42 	48.89 	48.68 	53.46 	58.23 	: 	54.27 	: 	63.42 
A,CU,A5231P,THS,IT	: 	: 	: 	: 	: 	: 	13764 	13046 	13491.3 	19570.7 	23839.5 	25071.1 	24757.6 	24992.2 	26230 	29273 	24877.2 	19693.3 	22326 	21868.8 	24299 e	22936.7 	24114.2 	25567.1 	22390.3 	24173 	25530 	25924 	24258 	24431 	26959 	35172 	35006 	22559 	31329 	29720 e	28624 	28981 	28069 	27990 	27238 	: 	7525 	25266 	33631 	29378 	32174 	30712 p	32086 p	32069 p	27277 p	30894 p	29337 p	27559 p	23899 p	25434 p	15860 	23545 
A,CU,A5231P,THS,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5231P,THS,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,CU,A5231P,THS,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5231P,THS,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	0 	0 	: @C	: @C	: @C	0 	: @C	: @C	: @C	: @C	: @C	0 	0 	0 	0 	0 
A,CU,A5231P,THS,NL	: 	: 	: 	: 	: 	: 	5788 	6760 	4397 	4231 	3048 	2446 	2738 	2501 	2134 	2232 	1744 	1738 	1952 	2351 	2521 	2166 	2462 	2686 	3039 	3373 	3418 	3791 	3699 	4479 	4881 	5138 p	4659 	4435 	4917 p	4670 p	2476 p	2637.2 	2828.9 	2752 	2808 	2489 	2121 	2448 	2145 	1897 	1908 	1802 	1675 p	1608 	1698 	1605 	1456 	1865 	1154 	959 	1106 	1026 
A,CU,A5231P,THS,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14843.3 	15829.3 	17297 	17006.1 	18254 	17918.9 p	19424.6 p	20155.7 p	20505.5 p	22416.4 p	21570.81 p	22338.86 p	25686.12 p	25976.58 p	27612.83 p	29255.37 p	32337 p	30028.7 p	31849.1 p	31747.15 p	31692.35 p	30817.79 p
A,CU,A5231P,THS,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1474 	2153 	1803 	298 	34 	1673 	2456 	3127 	3155 	3008 	3070 	3296 	3164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5231P,THS,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	152.2 	167.6 	172 	295.7 	375 	438.7 	297.7 	204.7 	148.7 	88.6 	0 	0 	43.03 	257.56 	341.1 	537.76 	698.99 	738.9 
A,CU,A5231P,THS,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	135 	: @C	0 	0 	0 	0 
A,CU,A5231P,THS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	627 	881 	919 	695 p	643 	625 	529 	595 	576 	587 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5231P,THS,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	358.2 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5231P,THS,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5231P,THS,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5912.84 	5566.75 	7392.93 	7527.37 	7344.31 	6363.63 	6144.83 	6017.58 	5227.11 	1740.94 
A,CU,A5231P,THS,UK	: 	: 	: 	: 	: 	: 	20442 	18042 	17764 	20422 	20820 	23265 	25985 	26392 	27473 	27963 	28971 	30141 	30561 	33627 	35575 	36486 	35800 	33010 	37608 	39694 	38271.6 	44653.7 	47803.8 	44896.3 	43658.9 	38945.6 	32561.9 	30707.4 	29868.6 	26935 	26549 	25811.7 	22033.5 	19850.1 	: @C	18323.7 p	17303 p	18966.6 p	21604.9 p	22212.1 p	20952.84 p	20350.09 p	20592.27 p	20336.38 p	18742.54 	19006.15 	18582.08 	: 	: 	: 	: 	: 
A,CU,A5241P,THS,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	0 	0.6 	3 	3.2 	3 	2.6 	2.5 	1.6 	: 	: 	: 	: 	0 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5241P,THS,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	: 	0 e	0 e	0 
A,CU,A5241P,THS,BE	: 	: 	: 	: 	: 	: 	1229 	1001.8 	143 	163 	301 	350 	462 	479 	752 	674 	785 	784 	833 	906 	1226 	915 	936 	936 	824 	857 	780 	1019 	976 	960 	852 	961 	798 	934 	865 	764 	594 	667 	262 	153.9 	105.1 	10.5 	11.4 	34 	36 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5241P,THS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: @C	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 
A,CU,A5241P,THS,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,DE	: 	: 	: 	: 	: 	: 	6.5 	2.2 	0 	1 	1.1 	0.6 	0.2 	0.2 	0.4 	0.6 	0.6 	0.7 	0.9 	0.7 	0.3 	: 	0.5 	1.7 	: 	: 	: @C	: @C	: @C	: @C	0 	: 	: @C	0 	0 	: @C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: 	: 	: 	: 	: 	: 	0 p	0 p	0 
A,CU,A5241P,THS,DK	: 	: 	: 	: 	: 	: 	0 	21.7 	0.8 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	10 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: @C	: @C	: @C	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.2 	0 	0 	0 	0 	5 	0 p	14 	96 	23 	25 	: 	18 	11 	10 	16 	6 	6 	16 	: 	7 	12 e	6.5 	2 	0 	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	0 	0 	0 	0 	1.9 
A,CU,A5241P,THS,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	114 e	122 	105.5 	: 	92 	94 	0 	0 	0 	426 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 	0 	0 
A,CU,A5241P,THS,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,FR	: 	: 	: 	16816 	22645 	33075 	36046 	35709 	40323 	44937 	41579 	44340 	49128 	48674 	53835 	51104 	50539 	52660 	50208 	50498 	53744 	52186 	51075 	52031 	52281 	50900 	49268 	48322 	47712 	50899 	49532 	50017 	47847 	51189 	54220 	44946 	44302 	45079 	42107 	37510 	38494.4 	38782.6 p	36926 p	35696.5 p	36094.7 p	33667.7 p	32862.49 p	31330.82 p	33031.81 p	33572.46 p	32441.95 p	33187.6 p	32490.21 p	27079.49 p	26903.69 p	23343.38 p	23338.89 p	21676.72 
A,CU,A5241P,THS,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 n	0 n	0 n	0 n	0 n	0 n	0 n	0 n	0 n
A,CU,A5241P,THS,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	2.2 	12.9 	6.8 	0.9 	4.26 	5.89 	23.43 	45.57 	21.36 	11.66 	0 	0 	7 	9.23 	0.5 	1.19 	0.03 
A,CU,A5241P,THS,IE	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 	0 
A,CU,A5241P,THS,IT	: 	: 	: 	: 	: 	: 	8133.6 	7099.8 	8532.4 	9798.8 	10371.7 	13370.7 	14766.3 	15142 	13294 	12335 	16393.5 	17099 	18592.9 	19423.6 	21425 e	19640.1 	17245.8 	15138.6 	17738 	21878 	21166 	21741 	22130 	22135 	19148 	13295 	15016 	12282 	12807 	13512 e	12543 	13144 	14063 	11263 	12226 	: 	437 	5673 	7674 	6841 	6225 	4528 p	539 p	4082 p	9559 p	5055 p	4916 p	6105 p	7154 p	3545 p	3946 	3833 
A,CU,A5241P,THS,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,CU,A5241P,THS,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	0 	0 	: @C	: @C	: @C	0 	: @C	: @C	: @C	: @C	: @C	0 	0 	0 	0 	0 
A,CU,A5241P,THS,NL	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 	0 	0 p	0 p	0 p	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	0 p	0 p	0 	0 	0 	0 	0 	0 p	0 	0 	0 p	0 p	0 p	: @C	0 
A,CU,A5241P,THS,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	206.9 
A,CU,A5241P,THS,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,CU,A5241P,THS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	0 	0 	0 	0 	0 	0 	0 	0 	0 
