GeoCluster	sample_size
HC_Cluster_1_Atlantic	130
HC_Cluster_1_Continental	130
HC_Cluster_2_Alpine	130
HC_Cluster_2_Continental	130
HC_Cluster_2_Mediterranean	130
HC_Cluster_3_Boreal	130
HC_Cluster_4_Mediterranean	130
HC_Cluster_3_Alpine	129
HC_Cluster_2_Pannonian	103
HC_Cluster_1_Alpine	38
