GeoCluster	poultry_population
GeoCluster_Five	2467405.936797619
GeoCluster_Four	447062.80097222223
GeoCluster_One	1420428.170595238
GeoCluster_Three	11491998.100126985
GeoCluster_Two	1399343.0540595239
