GeoCluster	road_transported_goods
GeoCluster_Five	2256206.4444444445
GeoCluster_Four	1067295.6666666665
GeoCluster_One	895012.1666666666
GeoCluster_Three	10467536.444444444
GeoCluster_Two	2283137.222222222
