freq,tra_type,tra_oper,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,LOADED,THS_T,ES	1124480 	1184586 	1258261 	1285164 	1409090 	1474486 	1542109 	1467774 	1626362 	1587697 	1601828 	1644275 
A,TOTAL,LOADED,THS_T,EU27_2020	12418089 	12635290 	12655191 	12797426 	13193849 	13236927 	13545184 	13018575 	13648904 	13585239 	13117062 	13020334 
A,TOTAL,LOADED,THS_T,FI	274637 	280131 	271912 	278957 	280744 	274346 	270462 	261920 	259023 	243739 	235546 	232262 
A,TOTAL,LOADED,THS_T,FR	1999869 	1918572 	1796755 	1727611 	1714292 	1619364 	1634946 	1508016 	1648948 	1631139 	1545239 	1548138 
A,TOTAL,LOADED,THS_T,HR	67512 	66157 	66503 	72516 	72343 	74009 	81125 	80707 	84968 	86417 	88173 	93831 
A,TOTAL,LOADED,THS_T,HU	169211 	193112 	198744 	197759 	188250 	206669 	202631 	188118 	219919 	204708 	192422 	176932 
A,TOTAL,LOADED,THS_T,IE	107222 	112825 	117090 	140743 	146543 	148765 	158396 	139987 	153466 	162902 	165581 	164238 
A,TOTAL,LOADED,THS_T,IT	1023872 	963056 	957006 	901503 	885451 	920732 	978883 	933601 	987085 	1047318 	1041655 	1110492 
A,TOTAL,LOADED,THS_T,LI	651 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,LOADED,THS_T,LT	52346 	57591 	58601 	63571 	76980 	89105 	100802 	107042 	113135 	100752 	120396 	137887 
A,TOTAL,LOADED,THS_T,LU	51480 	58723 	45715 	50824 	47292 	48846 	55303 	44931 	48225 	50339 	46394 	45729 
A,TOTAL,LOADED,THS_T,LV	60610 	62239 	62569 	63389 	68013 	76701 	73755 	75660 	81562 	80906 	80624 	78095 
A,TOTAL,LOADED,THS_T,ME	: 	: 	: 	839 	836 	808 	885 	800 	793 	: 	: 	: 
A,TOTAL,LOADED,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	4991 	4932 	: 	: 	: 
A,TOTAL,LOADED,THS_T,NL	642146 	639777 	641538 	656428 	666069 	680065 	688837 	684348 	699504 	690903 	642286 	641695 
A,TOTAL,LOADED,THS_T,NO	271349 	293231 	283172 	268120 	255470 	254346 	244312 	243236 	266275 	266855 	265908 	259325 
A,TOTAL,LOADED,THS_T,PL	1300608 	1300382 	1264960 	1313657 	1501811 	1390184 	1506450 	1500104 	1580517 	1599513 	1584171 	1528435 
A,TOTAL,LOADED,THS_T,PT	148177 	149829 	150358 	147792 	157924 	156650 	155866 	131115 	147065 	143483 	128580 	115856 
A,TOTAL,LOADED,THS_T,RO	191554 	190938 	198824 	216107 	226345 	237157 	256641 	266547 	306805 	324554 	321378 	322610 
A,TOTAL,LOADED,THS_T,SE	281177 	381263 	422891 	433065 	455480 	481319 	449362 	475232 	492496 	476784 	446538 	425421 
A,TOTAL,LOADED,THS_T,SI	65340 	74143 	70509 	75033 	86212 	85406 	91775 	90870 	98910 	103842 	105127 	100363 
A,TOTAL,LOADED,THS_T,SK	129032 	142608 	147225 	156179 	176750 	177131 	187184 	168653 	154828 	160802 	158257 	149121 
A,TOTAL,LOADED,THS_T,UK	1348987 	1348887 	1468144 	1450280 	1417482 	1425190 	1470486 	: 	: 	: 	: 	: 
